1023,217
1009,229
969,255
956,266
936,277
921,279
922,284
902,289
894,288
893,291
882,294
877,293
872,293
868,298
884,295
862,294
872,297
855,297
862,298
851,297
859,302
846,306
843,309
841,315
837,324
832,330
828,338
823,343
816,351
811,357
804,363
797,369
792,374
786,380
781,385
775,388
771,395
767,396
762,401
758,407
754,406
751,411
747,419
743,418
740,424
736,424
733,431
730,435
727,437
722,440
718,446
713,452
709,453
705,459
700,462
696,464
692,469
689,473
686,475
683,478
681,481
677,484
672,489
668,495
664,498
659,503
656,506
652,508
649,510
646,514
644,515
644,516
644,516
643,518
644,517
644,517
644,519
644,515
644,513
644,515
644,518
644,517
643,522
642,518
640,521
637,526
634,526
630,531
626,536
623,539
619,546
616,550
612,551
607,554
605,560
601,560
597,565
594,567
590,574
588,578
582,579
579,582
574,591
570,594
565,598
560,607
555,611
550,616
544,625
538,631
532,634
526,640
519,649
512,657
505,670
498,676
491,685
483,685
478,700
471,708
464,715
457,717
450,729
444,730
436,737
429,747
422,756
415,761
409,759
403,765
397,786
390,788
383,788
374,807
365,816
359,825
349,824
338,834
329,834
316,829
308,823
298,816
291,801
281,784
274,753
262,735
254,710
246,688
233,658
225,639
217,625
211,613
206,600
205,602
205,599
205,606
205,600
205,600
199,593
192,573
182,548
175,531
168,520
167,521
167,521
167,519
167,523
167,522
167,521
167,523
167,522
164,517
155,492
133,446
105,384
61,303
25,191
0,153
10,270
35,298
55,347
79,380
98,403
110,429
139,494
176,558
209,627
240,703
264,761
289,803
315,827
336,833
359,817
377,794
394,784
410,769
423,744
437,730
448,712
459,715
467,699
475,687
481,691
483,683
483,690
483,690
483,687
483,687
483,677
483,684
483,688
483,689
483,687
483,685
483,682
484,689
486,680
489,678
495,671
503,660
512,651
522,641
533,626
543,618
553,611
561,596
570,587
578,580
586,575
594,566
601,557
607,551
614,544
621,537
629,531
636,518
644,511
651,504
659,498
668,488
678,477
688,469
698,461
709,447
719,437
728,432
735,421
744,414
753,404
763,395
771,389
775,386
777,388
777,386
777,387
776,387
777,385
777,387
777,385
777,387
777,387
777,386
777,385
777,386
776,385
778,385
781,381
785,375
791,371
799,360
809,351
819,337
829,321
839,305
847,297
857,296
869,291
884,286
907,271
947,218
1008,206
1023,206
1021,206
1023,206
1023,206
1023,205
1023,205
1023,204
1023,205
1023,205
1023,205
1023,204
1023,206
1023,206
1023,207
1023,206
1023,206
1023,205
1023,205
1023,206
1023,206
1023,206
0,143
108,421
155,502
157,503
157,505
156,505
167,525
181,553
185,558
186,558
193,579
216,629
236,672
235,673
226,649
209,614
193,575
176,541
161,507
143,478
128,448
122,435
107,411
96,390
80,361
64,332
44,293
23,244
15,212
13,204
1,103
20,266
42,287
52,307
75,350
80,360
95,390
100,402
106,410
112,421
122,433
134,463
146,482
156,503
162,514
170,526
176,537
180,552
187,562
190,569
192,570
192,571
198,588
203,599
208,611
213,618
216,625
223,641
225,648
227,653
228,650
227,654
228,651
236,672
244,691
247,706
248,702
256,730
260,727
263,744
267,745
270,755
275,768
279,784
283,791
283,789
288,797
290,811
294,811
299,816
306,826
311,833
315,825
320,818
324,825
329,818
333,828
338,825
345,817
351,825
356,815
358,819
360,816
365,820
369,809
376,809
378,793
382,793
387,791
393,787
396,780
397,781
397,769
397,777
398,773
410,773
424,746
426,739
429,747
437,743
448,730
454,724
458,719
462,708
467,710
472,693
478,697
482,683
485,683
488,686
489,676
493,679
496,671
501,664
505,666
509,655
513,658
518,647
523,643
527,639
529,638
531,637
533,633
537,625
540,627
544,623
547,617
551,615
554,612
556,608
559,603
564,598
568,595
571,592
575,586
581,582
586,574
589,571
594,565
598,564
602,561
604,559
604,559
603,562
603,561
604,559
606,558
612,548
617,544
620,543
622,535
625,536
632,530
637,524
642,518
648,510
654,507
658,503
660,500
663,498
665,496
669,492
674,487
677,484
680,482
683,477
686,474
689,470
693,468
694,466
698,463
702,460
705,455
710,452
714,447
717,443
722,441
726,437
730,433
733,424
736,426
743,421
749,411
753,408
759,401
764,399
768,394
772,391
777,388
781,382
787,375
791,373
795,367
804,361
813,353
821,339
828,333
833,322
839,312
844,303
864,299
854,297
861,295
870,295
874,293
874,293
873,291
875,292
900,285
933,267
969,250
985,226
1023,207
1023,205
1023,204
1023,206
1023,204
1023,205
1023,206
1023,204
864,296
751,418
652,515
587,577
542,623
516,652
516,650
514,654
417,763
221,627
